Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Grassland,0,0,0,0,11,7,3,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Permanent_ice_and_snow,0,1,0,0,1,1,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Grassland,0,2,8,5,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Built-up,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Forest,0,27,20,46,0,13,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Water,0,81,7,0,62,3,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Wetland,0,14,2,14,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Bareland,0,0,7,23,20,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,Cropland,0,0,6,5,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,Water,0,0,0,0,0,0,44,0,0,22,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,Wetland,0,0,0,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,Forest,0,0,0,11,0,0,25,0,0,27,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,Bareland,0,0,0,9,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,Water,12,52,0,0,64,30,19,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,Wetland,4,13,0,17,14,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,Forest,11,20,0,25,0,18,12,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,Grassland,0,0,0,2,3,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,Built-up,0,1,0,0,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,Bareland,0,0,0,13,7,1,0,0,0,0,0
