Dataset,MajorityClass,Grassland,Water,Forest,Cropland,Built-up,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Grassland,0,32,131,106,44,141,69,124,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Non_Wetland,2,0,0,0,0,0,7,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Forest,487,300,0,257,149,556,433,767,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Water,51,0,474,42,132,661,367,520,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Non_Water,0,3,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Shrubland,65,16,26,27,26,65,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Bareland,31,1,15,37,13,0,1,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Cropland,429,19,212,0,179,340,92,240,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Built-up,149,4,75,37,0,255,23,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Wetland,26,47,58,10,1,9,0,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Grassland,0,41,0,0,0,0,53,0,158,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Wetland,0,0,0,0,0,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Forest,0,167,0,0,0,0,287,0,879,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Water,0,0,0,0,0,0,457,0,476,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Shrubland,0,0,0,0,0,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Cropland,0,26,0,0,0,0,18,0,244,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Built-up,0,28,0,0,0,0,10,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,Bareland,0,22,0,0,0,0,3,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Grassland,0,83,0,0,0,0,0,0,0,90,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Water,0,0,0,0,0,0,0,0,0,902,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Forest,0,395,0,0,0,0,0,0,0,419,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Shrubland,0,27,0,0,0,0,0,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Bareland,0,6,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Built-up,0,29,0,0,0,0,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Cropland,0,52,0,0,0,0,0,0,0,51,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Wetland,0,39,0,0,0,0,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Grassland,0,41,239,540,123,6,53,519,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Wetland,0,0,15,13,0,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Bareland,0,22,48,222,118,0,3,183,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Built-up,0,28,90,333,0,2,10,295,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Water,0,0,446,783,89,135,457,776,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Forest,28,167,0,1064,247,46,287,1139,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Cropland,1,26,256,0,201,2,18,554,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Shrubland,0,0,12,25,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,Permanent_ice_and_snow,0,0,0,4,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Grassland,0,70,189,536,160,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Wetland,0,49,18,78,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Bareland,0,16,5,228,161,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Water,0,0,111,514,119,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Forest,0,677,0,852,520,5,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Shrubland,0,44,73,189,69,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Built-up,0,4,14,100,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Cropland,0,31,146,0,203,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Water,60,0,679,18,0,12,10,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Forest,187,192,0,154,0,112,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Shrubland,45,52,199,57,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Cropland,217,101,278,0,0,224,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Wetland,32,88,95,5,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Bareland,6,30,35,13,0,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Built-up,41,60,263,136,0,139,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,Grassland,0,65,157,70,0,79,1,0,0,0,0,0
