Dataset,MajorityClass,Grassland,Cropland,Wetland,Forest,Bareland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Forest,60,70,47,0,57,33,16,0,0,85,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Grassland,0,37,12,44,34,8,3,0,0,55,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Permanent_ice_and_snow,10,19,0,18,8,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Water,0,141,106,104,34,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Grassland,0,80,63,66,0,22,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Wetland,0,103,0,96,17,83,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Built-up,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Forest,0,72,67,0,9,59,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Cropland,0,0,16,42,0,8,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Bareland,0,61,5,11,0,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLH_M_R,Permanent_ice_and_snow,0,21,9,7,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Water,86,61,69,109,91,0,0,0,0,0,0,44
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Cropland,39,0,16,33,40,22,0,0,0,0,0,31
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Wetland,83,57,0,85,52,63,0,0,0,0,0,52
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Bareland,2,6,1,9,0,5,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Forest,41,31,25,0,27,26,0,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Grassland,0,8,8,12,8,7,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLH_M_R,Built-up,0,2,0,3,2,0,0,0,0,0,0,0
