Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Grassland,0,0,0,83,0,0,26,0,969,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Wetland,0,0,0,0,0,0,72,0,1442,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Water,0,0,0,407,0,0,0,0,799,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Shrubland,0,0,0,0,0,0,0,0,109,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Cropland,0,0,0,7,0,0,1,0,344,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Forest,0,0,0,204,0,0,66,0,973,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Bareland,0,0,0,18,0,0,14,0,287,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Built-up,0,0,0,0,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Grassland,0,0,0,0,0,0,357,0,0,77,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Wetland,0,0,0,0,0,0,811,0,0,235,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Shrubland,0,0,0,0,0,0,27,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Water,0,0,0,0,0,0,0,0,0,432,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Cropland,0,0,0,0,0,0,102,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Bareland,0,0,0,0,0,0,227,0,0,29,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Built-up,0,0,0,0,0,0,8,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Forest,0,0,0,0,0,0,362,0,0,147,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Grassland,339,0,133,83,31,113,26,820,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Wetland,350,97,131,0,10,20,72,783,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Built-up,25,25,4,0,2,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Water,348,110,48,407,3,20,0,1026,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Forest,0,137,52,204,12,61,66,708,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Cropland,118,71,0,7,1,30,1,306,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Bareland,56,129,28,18,0,25,14,372,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,Permanent_ice_and_snow,0,2,0,0,0,1,0,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Wetland,85,0,218,0,15,9,240,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Grassland,115,0,317,190,31,105,148,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Shrubland,6,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Bareland,31,0,43,36,0,17,50,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Built-up,0,0,13,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Water,80,0,101,282,128,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Forest,0,0,73,126,6,86,314,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Cropland,7,0,0,25,0,4,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Wetland,364,250,133,0,294,0,313,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Shrubland,19,6,5,3,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Cropland,33,45,0,20,156,0,14,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Forest,0,55,27,47,48,0,112,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Bareland,6,4,2,3,0,0,3,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Water,238,79,30,221,334,0,0,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Built-up,42,6,22,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,Grassland,214,0,105,112,258,0,85,0,0,0,7
