Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYE_M_R
34,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
39,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
40,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
42,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
43,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
44,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
45,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
47,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
48,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
49,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
50,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
51,Grassland,Water,Water,NULL,Water,NULL,NULL,NULL
52,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
53,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
54,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
55,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
56,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
57,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
58,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
59,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
60,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
61,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
62,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
63,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
64,Cropland,Bareland,Water,NULL,Water,NULL,NULL,NULL
65,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
66,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
67,Cropland,Water,Water,NULL,Water,NULL,NULL,NULL
68,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
69,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
70,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
71,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
72,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
73,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
74,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
75,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
76,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
77,Wetland,Wetland,Water,NULL,Water,NULL,NULL,NULL
78,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
79,Wetland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
80,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
81,Wetland,Water,Water,NULL,Water,NULL,NULL,NULL
82,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
83,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
84,Wetland,Forest,Water,NULL,Water,NULL,NULL,NULL
85,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
86,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
87,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
88,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
89,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
90,Bareland,NULL,Water,NULL,Water,NULL,NULL,NULL
91,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
92,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
93,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
94,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
95,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
96,Bareland,Bareland,Water,NULL,Water,NULL,NULL,NULL
97,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
98,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
99,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
100,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
101,Bareland,Water,Water,NULL,Water,NULL,NULL,NULL
102,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
103,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
104,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
105,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
106,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
107,Water,NULL,Water,NULL,Water,NULL,NULL,NULL
108,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
109,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
110,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
111,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
112,Water,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
113,Water,Wetland,Water,NULL,Water,NULL,NULL,NULL
114,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
115,Water,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
116,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
117,Water,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
118,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
119,Water,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
120,Water,Bareland,Water,NULL,Water,NULL,NULL,NULL
121,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
122,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
123,Water,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
124,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
125,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
126,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
127,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
128,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
129,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
130,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
131,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
132,Water,Water,Water,NULL,Water,NULL,NULL,NULL
133,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
134,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
135,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
137,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
138,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
139,Water,Forest,Water,NULL,Water,NULL,NULL,NULL
140,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
141,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
142,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
143,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
144,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
145,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
146,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
147,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
148,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
149,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
150,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
151,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
152,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
153,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
154,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
155,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
156,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
157,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
158,Forest,Wetland,Water,NULL,Water,NULL,NULL,NULL
159,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
160,Forest,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
161,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
162,Forest,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
163,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
164,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
165,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
166,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
167,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
168,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
169,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
170,Forest,Built-up,Water,NULL,Water,NULL,NULL,NULL
171,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
172,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
173,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
174,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
175,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
176,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
177,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
178,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
179,Forest,Water,Water,NULL,Water,NULL,NULL,NULL
180,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
181,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
182,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
183,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
185,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
186,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
187,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
188,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
189,Forest,Forest,Water,NULL,Water,NULL,NULL,NULL
190,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
