Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Wetland,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Water,20,75,12,0,361,0,84,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Wetland,4,24,0,38,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Cropland,2,20,4,0,5,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Grassland,0,0,0,71,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Wetland,0,0,0,38,0,0,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Water,0,0,0,0,0,0,0,0,0,121,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Forest,0,0,0,132,0,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,Built-up,0,0,0,7,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Grassland,98,62,55,12,53,7,0,194,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Built-up,10,3,0,1,8,0,50,64,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Forest,0,119,49,48,144,12,206,180,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Wetland,4,4,0,4,0,0,4,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Bareland,7,0,23,1,0,0,22,43,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Water,94,96,26,0,192,0,81,126,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,Cropland,3,0,3,0,0,0,4,19,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Grassland,93,3,115,63,6,119,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Water,13,0,14,0,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Forest,0,0,102,238,6,45,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Shrubland,1,0,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Bareland,0,0,19,1,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Built-up,3,1,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,Wetland,28,0,21,98,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Forest,0,4,0,28,5,46,44,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Bareland,14,0,0,6,0,5,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Wetland,131,1,0,82,0,4,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Built-up,48,19,0,12,0,11,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Water,192,0,0,0,24,5,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Grassland,203,29,0,90,10,92,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,Shrubland,2,0,0,0,0,3,0,0,0,0,0
