Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Water,0,0,292,0,0,0,0,0,351,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Shrubland,0,0,0,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Cropland,0,0,67,0,0,78,0,0,437,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Bareland,0,0,6,0,0,34,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Built-up,0,0,1,0,0,32,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Grassland,0,0,0,0,0,120,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Bareland,0,0,0,0,0,24,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Water,0,0,0,0,0,0,0,0,0,377,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Shrubland,0,0,0,0,0,4,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Cropland,0,0,0,0,0,155,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Wetland,0,0,0,0,0,151,0,0,0,105,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Forest,0,0,0,0,0,267,0,0,0,152,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,Built-up,0,0,0,0,0,7,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Grassland,0,320,71,44,159,44,385,333,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Bareland,2,147,6,0,146,34,65,64,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Forest,183,588,226,139,235,153,0,480,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Cropland,72,0,67,55,216,78,431,336,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Wetland,4,14,0,5,3,9,91,26,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Built-up,24,149,1,11,0,32,88,88,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Water,26,274,292,121,60,0,462,99,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Grassland,0,644,2,0,169,28,135,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Forest,0,828,43,0,374,307,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Water,0,623,51,1,79,0,78,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Wetland,0,280,0,0,15,60,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Bareland,0,111,0,0,106,29,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Built-up,0,67,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Shrubland,0,11,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,Cropland,0,0,0,0,196,6,81,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Forest,121,208,8,30,0,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Wetland,82,56,0,5,0,57,304,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Bareland,15,56,4,0,0,32,81,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Water,109,135,82,27,0,0,531,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Cropland,118,0,1,29,0,31,164,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Built-up,22,168,0,5,0,3,121,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Grassland,0,150,7,29,0,45,206,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,Shrubland,0,2,0,0,0,0,19,0,0,0,0,0
