Dataset,MajorityClass,Forest,Bareland,Grassland,Water,Wetland,Non_Wetland,Shrubland,Cropland,Non_Water,Built-up,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Non_Wetland,0,0,1,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Bareland,1,0,7,8,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Water,55,19,50,0,307,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Forest,0,72,136,215,355,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Shrubland,3,2,4,5,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Wetland,3,4,13,234,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Built-up,1,1,2,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Non_Wetland,0,1,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Forest,0,71,291,143,139,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Grassland,2,15,0,3,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Bareland,0,0,12,6,5,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Water,67,58,173,0,137,0,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Shrubland,0,10,5,3,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Wetland,20,54,171,151,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Built-up,0,6,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,Cropland,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Grassland,0,0,0,22,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Wetland,0,0,0,297,0,0,0,0,97,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Shrubland,0,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Bareland,0,0,0,27,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Water,0,0,0,0,0,0,0,0,136,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,Forest,0,0,0,193,0,0,0,0,77,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Grassland,20,10,0,0,15,0,55,7,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Water,94,61,24,0,330,0,182,3,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Forest,0,105,91,44,132,0,153,7,0,24,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Wetland,5,10,3,3,0,0,67,2,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Bareland,11,0,7,0,16,0,21,1,0,14,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,Wetland,42,56,0,162,0,0,0,1,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,Water,43,33,0,0,108,0,0,2,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,Grassland,32,3,0,14,5,0,0,0,0,14,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,Bareland,15,0,0,11,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,Cropland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,Forest,0,0,0,228,97,0,0,0,0,6,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,Wetland,222,35,6,54,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,Forest,0,1,2,6,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,Water,347,66,2,0,86,0,0,13,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,Grassland,53,0,0,1,6,0,0,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,Bareland,13,0,0,1,1,0,0,0,0,0,0
