Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Non_Wetland,Built-up,Non_Water,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Shrubland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Built-up,0,1,0,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Water,0,109,0,0,115,53,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Shrubland,12,1,0,1,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Forest,103,0,0,113,163,80,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Grassland,0,0,0,0,22,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Wetland,11,2,0,28,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Water,15,16,0,0,66,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Built-up,6,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYB_M_R,Grassland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYB_M_R,Wetland,0,0,0,9,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYB_M_R,Water,0,0,0,0,0,0,0,0,101,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYB_M_R,Forest,0,0,0,68,0,0,0,0,75,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,Wetland,0,34,1,54,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,Water,0,22,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,Shrubland,0,4,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,Grassland,0,7,0,3,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,Forest,0,0,4,168,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,Shrubland,2,22,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,Wetland,13,62,5,20,0,0,0,0,0,18,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,Forest,10,0,9,38,0,0,0,0,0,51,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,Grassland,0,12,1,1,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,Water,0,152,4,0,4,0,0,0,0,29,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
