Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Built-up,0,0,0,0,0,0,23,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Grassland,0,298,124,541,57,15,50,598,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Wetland,0,182,5,95,0,12,63,292,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Bareland,0,39,157,192,2,0,51,144,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Built-up,0,61,0,256,3,3,23,229,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Forest,20,0,206,932,231,63,203,1141,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Cropland,2,329,236,0,54,7,71,699,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Water,5,434,66,677,350,132,0,706,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,Shrubland,0,6,2,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Grassland,0,201,130,747,35,1,97,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Wetland,0,157,16,557,0,0,171,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Bareland,0,8,126,240,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Water,0,161,101,856,128,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Forest,0,0,423,1089,136,0,572,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Shrubland,0,29,24,83,3,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Built-up,0,12,0,134,0,10,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,Cropland,0,138,197,0,3,1,38,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Wetland,169,358,0,32,0,10,190,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Water,126,671,0,45,118,34,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Forest,244,0,0,149,32,43,180,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Cropland,289,379,0,0,14,161,125,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Shrubland,20,94,0,10,0,1,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Bareland,7,47,0,17,0,0,29,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Built-up,45,140,0,150,0,113,42,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,Grassland,0,178,0,70,7,45,54,0,0,0,0
