Dataset,MajorityClass,Non_Wetland,Water,Wetland,Bareland,Grassland,Forest,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Built-up,0,56,81,113,104,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Forest,0,230,553,318,586,0,245,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Shrubland,0,1,6,5,7,5,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Water,0,0,216,115,161,80,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Permanent_ice_and_snow,0,4,3,3,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Non_Wetland,0,0,7,1,5,3,2,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Grassland,0,2,217,45,0,255,69,0,81,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Cropland,0,0,40,3,110,58,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Wetland,0,105,0,196,900,352,27,0,116,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Bareland,0,102,212,0,413,134,76,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Built-up,0,15,120,77,292,206,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Shrubland,0,0,10,3,18,8,4,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Forest,0,41,516,77,614,0,87,0,14,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Water,0,0,467,136,246,157,8,0,16,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKV_M_R,Permanent_ice_and_snow,0,0,4,1,7,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Wetland,0,310,0,658,572,186,71,0,338,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Non_Wetland,0,0,4,7,3,0,0,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Forest,0,67,451,664,589,0,192,0,63,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Grassland,0,31,240,393,0,63,94,0,122,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Built-up,0,31,88,260,116,23,0,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Shrubland,0,2,7,15,10,0,4,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Bareland,0,34,32,0,56,9,30,0,28,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Water,0,0,158,355,89,120,32,0,61,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Cropland,0,3,14,64,46,3,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKV_M_R,Permanent_ice_and_snow,0,0,2,8,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Wetland,0,87,0,163,207,187,66,229,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Grassland,0,24,109,108,0,191,93,270,1,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Forest,0,70,382,236,504,0,177,284,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Cropland,0,3,51,12,56,51,6,54,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Bareland,0,73,243,0,212,71,162,142,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Built-up,0,12,125,48,145,67,0,104,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Water,0,0,392,112,128,80,51,109,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKV_M_R,Permanent_ice_and_snow,0,0,0,0,3,2,3,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Grassland,0,75,151,9,0,265,207,0,356,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Forest,0,147,110,10,0,0,325,0,234,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Bareland,0,213,65,0,0,136,221,0,31,0,8
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Built-up,0,10,0,15,0,40,0,0,14,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Wetland,0,393,0,57,0,488,350,0,445,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Water,0,0,79,61,0,122,96,0,66,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Cropland,0,0,3,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKV_M_R,Permanent_ice_and_snow,0,0,2,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Wetland,0,490,0,219,197,697,0,0,131,0,81
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Forest,0,302,22,54,87,0,0,0,143,0,97
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Bareland,0,95,47,0,6,130,0,0,18,0,64
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Built-up,0,138,12,37,10,161,0,0,47,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Water,0,0,80,98,22,156,0,0,1,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Cropland,0,38,12,8,3,19,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Grassland,0,230,123,75,0,307,0,0,141,0,73
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKV_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
