Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Grassland,0,41,0,0,13,0,217,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Wetland,0,0,0,0,14,0,160,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Forest,0,213,0,0,69,0,658,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Water,0,192,0,0,0,0,384,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Shrubland,0,0,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Bareland,0,2,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Built-up,0,0,0,0,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDC_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Wetland,19,0,0,39,68,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Non_Wetland,0,4,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Forest,0,337,0,191,134,365,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Grassland,29,104,0,145,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Water,65,308,0,55,0,128,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Shrubland,0,4,0,8,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Bareland,0,3,0,0,2,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Built-up,0,7,0,34,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDC_M_R,Cropland,0,2,0,13,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDC_M_R,Grassland,0,0,0,0,13,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDC_M_R,Forest,0,0,0,0,151,0,0,104,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDC_M_R,Wetland,0,0,0,0,97,0,0,127,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDC_M_R,Bareland,0,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDC_M_R,Water,0,0,0,0,0,0,0,205,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Grassland,70,41,36,36,13,0,0,0,123,8,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Wetland,17,0,1,21,14,15,0,0,60,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Forest,0,213,38,127,69,201,0,0,238,18,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Bareland,9,2,13,0,0,28,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Water,128,192,22,100,0,71,0,0,132,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Cropland,3,0,2,0,0,3,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDC_M_R,Built-up,2,0,0,0,0,4,0,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Grassland,103,0,61,7,38,0,0,0,0,104,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Bareland,8,0,9,0,4,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Wetland,149,0,36,0,192,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Forest,0,4,106,0,311,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Water,83,31,7,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Built-up,0,0,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDC_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDC_M_R,Wetland,301,0,0,4,97,73,0,0,0,6,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDC_M_R,Forest,0,7,0,18,46,40,0,0,0,41,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDC_M_R,Bareland,15,0,0,0,4,2,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDC_M_R,Water,396,22,0,2,0,35,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDC_M_R,Grassland,136,12,0,28,31,0,0,0,0,53,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDC_M_R,Built-up,4,0,0,0,0,0,0,0,0,0,0,0
