Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Forest,258,510,0,197,106,90,177,830,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Cropland,149,0,236,6,98,16,22,488,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Water,19,191,359,313,7,85,0,511,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Shrubland,11,19,25,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Grassland,0,721,297,28,152,16,120,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Bareland,0,253,31,0,125,0,26,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Forest,0,596,0,74,223,8,446,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Shrubland,0,170,92,0,53,0,53,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Wetland,0,137,157,0,1,3,147,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Built-up,0,39,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Water,0,264,215,79,40,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Cropland,0,0,153,0,110,19,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Wetland,101,7,392,0,0,21,119,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Shrubland,57,67,167,7,0,58,39,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Cropland,153,0,224,1,0,241,29,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Forest,69,133,0,11,0,97,69,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Built-up,7,27,46,0,0,84,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Water,27,13,641,56,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Bareland,1,9,35,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,Grassland,0,141,266,10,0,143,63,0,0,0,1
