Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWB_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
133,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
135,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
138,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
139,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
140,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
141,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
142,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
143,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
