Dataset,MajorityClass,Wetland,Shrubland,Grassland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Bareland,0,0,0,0,11,3,51,44,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Built-up,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Water,193,0,0,45,126,0,9,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Cropland,0,0,0,19,51,5,0,50,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Shrubland,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Cropland,0,0,44,69,85,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Forest,2,0,33,20,0,26,55,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Wetland,0,0,117,56,424,152,9,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Water,59,0,28,104,398,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Grassland,0,0,0,48,137,6,67,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Bareland,0,0,0,0,6,0,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Built-up,0,0,0,3,10,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0
