Dataset,MajorityClass,Forest,Bareland,Water,Grassland,Wetland,Built-up,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,Water,89,31,0,31,68,27,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Shrubland,0,0,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Forest,0,19,94,298,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Grassland,17,3,11,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Cropland,0,1,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Wetland,9,1,7,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Bareland,0,0,2,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,Water,21,1,0,142,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,Grassland,0,0,5,0,5,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,Forest,0,0,68,0,93,0,0,0,186,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,Bareland,0,0,1,0,1,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,Wetland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,Water,0,0,0,0,68,0,0,0,93,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,Forest,0,6,122,0,0,8,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,Grassland,43,1,5,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,Water,55,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,Wetland,14,0,28,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,Forest,0,21,117,13,3,0,0,14,0,30,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,Grassland,52,20,45,0,6,0,0,16,0,16,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,Wetland,38,2,17,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,Water,175,9,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,Bareland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKF_M_R,Water,0,0,0,0,0,0,0,0,0,0,55
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKF_M_R,Forest,0,0,47,0,0,0,0,0,0,0,30
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKF_M_R,Wetland,0,0,5,0,0,0,0,0,0,0,8
