Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Cropland,0,0,0,0,0,291,0,0,0,126,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Built-up,0,0,0,0,0,13,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Grassland,0,458,26,500,82,63,253,670,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Wetland,5,44,14,336,7,75,0,254,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Bareland,2,218,0,124,43,34,166,288,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Forest,194,539,101,0,101,208,690,851,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Built-up,11,120,6,49,0,16,2,146,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Cropland,56,0,19,548,49,83,386,707,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Water,12,349,135,668,34,0,775,669,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Shrubland,8,33,5,71,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Grassland,0,870,5,216,105,95,49,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Forest,0,805,1,0,258,584,245,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Shrubland,0,279,0,76,44,82,41,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Wetland,0,1132,7,298,33,315,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Bareland,0,241,0,28,82,57,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Water,0,709,35,127,27,0,220,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Built-up,0,20,8,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,Cropland,0,0,6,49,41,1,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Wetland,530,329,235,930,0,419,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Forest,193,158,91,0,0,133,62,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Shrubland,131,70,68,260,0,109,56,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Cropland,230,0,206,156,0,51,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Bareland,22,33,0,22,0,21,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Water,108,97,198,658,0,0,155,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Built-up,4,21,55,75,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,Grassland,0,118,148,230,0,71,32,0,0,0,2
