Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R
30,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
31,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Water
32,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
33,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
34,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
35,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
36,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
37,Water,Bareland,Water,Water,Water,NULL,NULL,Water
38,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
39,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
40,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
41,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
42,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
43,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
44,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
45,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
46,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
47,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
48,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
50,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
52,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
53,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
54,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
55,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
56,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
57,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
58,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
59,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
60,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
61,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
62,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
63,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
64,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
65,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
67,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
68,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
69,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
70,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
71,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
72,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
73,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
74,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
75,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
76,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
77,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
78,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
79,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
80,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
81,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
82,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
83,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
84,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
85,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
86,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
87,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
88,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
89,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
90,Water,Water,Water,NULL,Water,NULL,NULL,Water
91,Water,Water,Water,NULL,Water,NULL,NULL,Forest
92,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
93,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
94,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
95,Water,Water,Water,Water,Water,NULL,NULL,Grassland
96,Water,Water,Water,Water,Water,NULL,NULL,Water
97,Water,Water,Water,Water,Water,NULL,NULL,Forest
98,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
100,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
103,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
104,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
105,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
106,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
107,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
108,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
109,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
110,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
111,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
112,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
113,Water,Forest,Water,Water,Water,NULL,NULL,Water
114,Water,Forest,Water,Water,Water,NULL,NULL,Forest
115,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
117,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
118,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
119,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
120,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
121,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
122,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
123,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
125,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
126,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
127,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
128,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
129,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
130,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
131,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
132,Forest,NULL,Water,Water,Water,NULL,NULL,Water
133,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
134,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
136,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
137,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
139,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
140,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
141,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
143,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
144,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
147,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
148,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
149,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
151,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
152,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
154,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
155,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
156,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
157,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
158,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
160,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
161,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
162,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
163,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
164,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
166,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
168,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
169,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
170,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
171,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
172,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
173,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
174,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
175,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
176,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
177,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
178,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
179,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
180,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
181,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
182,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
183,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
184,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
185,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
186,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
188,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
189,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
191,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
192,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
193,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
194,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
195,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
196,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
197,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
198,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
199,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
200,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
201,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
202,Forest,Water,Water,NULL,Water,NULL,NULL,Water
203,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
204,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
205,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
206,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
207,Forest,Water,Water,Water,Water,NULL,NULL,Water
208,Forest,Water,Water,Water,Water,NULL,NULL,Forest
209,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
211,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
212,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
215,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
216,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
217,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
218,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
219,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
220,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
221,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
222,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
225,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
226,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
227,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
228,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
231,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
234,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
235,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
236,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
237,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
238,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
239,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
242,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
243,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
244,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
245,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
246,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
248,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
249,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
250,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
251,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
252,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
253,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
254,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
255,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
256,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
257,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
258,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
259,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
260,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
261,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
262,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
263,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
264,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
267,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
268,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
270,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
272,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
273,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
274,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Water
275,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
276,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
277,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
278,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
279,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
280,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
281,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
282,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
283,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
284,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
285,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
286,Forest,Forest,Water,Water,Water,NULL,NULL,Water
287,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
288,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
289,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
290,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
291,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
294,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
296,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
