Dataset,MajorityClass,Wetland,Forest,Shrubland,Grassland,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Grassland,0,0,0,0,0,0,171,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Wetland,0,0,0,0,0,0,1294,0,0,702,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Shrubland,0,0,0,0,0,0,3,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Bareland,0,0,0,0,0,0,48,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Built-up,0,0,0,0,0,0,25,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Water,0,0,0,0,0,0,0,0,0,435,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMT_M_R,Forest,0,0,0,0,0,0,315,0,0,159,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Grassland,158,266,273,0,131,69,24,65,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Wetland,0,450,286,524,343,59,206,14,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Forest,535,0,362,829,325,120,147,86,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Bareland,35,19,63,113,0,38,4,14,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Built-up,48,62,86,171,23,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Water,682,300,183,371,289,31,0,12,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Shrubland,0,3,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Cropland,6,13,11,26,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMT_M_R,Permanent_ice_and_snow,0,1,1,3,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Forest,479,0,0,0,7,338,221,88,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Grassland,327,374,0,0,6,292,92,126,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Wetland,0,649,0,0,34,201,511,166,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Built-up,7,17,0,0,5,0,1,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Bareland,34,20,0,0,0,65,24,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Water,725,245,0,0,70,66,0,31,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Shrubland,2,7,0,0,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Cropland,0,2,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMT_M_R,Permanent_ice_and_snow,0,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Wetland,0,1327,0,576,174,0,1197,275,0,0,0,144
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Forest,65,0,0,136,57,0,515,151,0,0,0,140
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Shrubland,1,18,0,1,0,0,21,5,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Bareland,9,52,0,4,0,0,51,12,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Built-up,15,149,0,7,21,0,113,25,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Water,213,547,0,99,103,0,0,41,0,0,0,41
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Grassland,132,440,0,0,56,0,390,161,0,0,0,89
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMT_M_R,Cropland,0,6,0,0,0,0,3,0,0,0,0,0
