Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Grassland,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Bareland,21,20,0,27,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Water,181,14,144,0,25,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Wetland,50,2,18,44,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Cropland,10,6,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Forest,0,0,7,42,39,32,0,0,0,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Bareland,40,0,0,6,12,4,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Water,582,0,273,0,55,47,5,0,0,0,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Wetland,104,0,28,11,21,17,0,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Built-up,16,0,2,0,6,2,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Grassland,139,0,15,65,58,0,2,0,0,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,Cropland,4,0,1,1,0,0,0,0,0,0,0,4
