Dataset,MajorityClass,Wetland,Shrubland,Grassland,Forest,Bareland,Water,Built-up,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Bareland,12,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Built-up,0,0,0,0,0,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,Grassland,0,0,0,0,0,16,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,Bareland,0,0,0,0,0,14,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,Wetland,0,0,0,0,0,127,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,Water,0,0,0,0,0,0,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,Forest,0,0,0,0,0,140,0,0,85,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,Forest,144,120,104,0,106,49,55,0,0,59,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,Grassland,14,38,0,38,17,0,27,0,0,39,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,Wetland,0,34,20,23,27,3,12,0,0,11,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,Water,239,40,75,65,71,0,35,0,0,4,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,Bareland,12,1,1,2,0,0,5,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,Built-up,0,1,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQT_M_R,Grassland,0,0,0,32,0,13,33,0,0,21,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQT_M_R,Wetland,0,0,0,52,19,86,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQT_M_R,Forest,10,0,0,0,0,240,49,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQT_M_R,Water,28,0,0,44,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQT_M_R,Bareland,0,0,0,0,0,5,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Wetland,0,0,11,243,15,23,0,0,0,8,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Forest,0,0,5,0,1,4,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Water,29,0,2,329,41,0,0,0,0,5,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Grassland,0,0,0,98,11,4,0,0,0,9,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,Built-up,0,0,0,6,0,0,0,0,0,0,0,0
