Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Built-up,0,0,0,0,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Non_Wetland,5,1,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Forest,404,146,55,185,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Grassland,114,0,12,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Wetland,0,93,8,259,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Water,491,34,5,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Shrubland,5,2,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Bareland,12,1,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Built-up,17,4,25,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,Cropland,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Grassland,0,0,0,62,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Wetland,0,0,0,378,0,0,0,159,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Bareland,0,0,0,4,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Water,0,0,0,0,0,0,0,174,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Forest,0,0,0,179,0,0,0,50,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,Built-up,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Forest,97,86,125,38,0,38,0,0,111,10,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Grassland,14,0,35,4,44,10,0,0,49,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Wetland,0,70,143,38,98,49,0,0,66,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Bareland,0,0,0,0,0,2,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Water,187,136,189,0,161,43,0,0,49,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Built-up,0,0,1,0,5,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,Grassland,32,0,0,9,38,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,Water,204,0,7,0,144,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,Forest,98,0,0,128,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,Wetland,0,0,1,144,179,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,Bareland,0,0,0,2,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,Wetland,0,218,7,197,441,0,0,0,0,32,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,Forest,1,23,0,9,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,Water,33,87,13,0,420,0,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,Grassland,1,0,0,2,59,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,Bareland,0,0,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
