Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Cropland,Built-up,Water,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Grassland,0,0,0,0,0,0,28,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Wetland,0,0,0,0,0,0,71,0,40,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Water,0,0,0,0,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Forest,0,0,0,0,0,0,44,0,25,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Built-up,0,0,0,0,0,0,3,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Bareland,0,0,0,0,0,0,18,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZJ_M_R,Cropland,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Cropland,13,3,2,10,0,2,1,0,0,14
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Wetland,24,0,0,20,0,0,6,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Bareland,7,17,0,5,0,3,2,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Built-up,4,2,2,3,1,0,1,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Water,45,50,3,35,4,3,0,0,0,17
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Forest,46,33,10,0,14,7,12,0,0,43
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZJ_M_R,Grassland,0,11,3,16,3,4,4,0,0,21
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Grassland,0,24,0,21,27,10,13,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Wetland,0,0,13,34,14,9,37,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Forest,0,23,1,0,15,9,29,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Built-up,0,0,1,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Bareland,0,0,0,0,0,2,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Water,0,30,15,21,9,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZJ_M_R,Cropland,0,0,0,3,0,2,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Wetland,28,0,16,48,20,0,34,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Built-up,1,0,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Water,19,12,23,49,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Forest,19,2,4,0,9,0,14,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Cropland,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Grassland,0,4,4,10,7,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZJ_M_R,Bareland,0,0,0,2,1,0,1,0,0,0
