Dataset,MajorityClass,Grassland,Forest,Built-up,Water,Wetland,Bareland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Water,0,3,0,0,22,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Bareland,1,0,3,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Grassland,0,2,0,0,0,0,11,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Built-up,21,36,0,1,13,22,83,0,45,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Bareland,4,12,88,5,35,0,83,0,11,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Wetland,0,19,1,0,0,3,9,0,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Cropland,0,1,4,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Forest,27,0,33,1,38,25,86,0,52,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,Water,1,16,46,0,101,17,62,0,9,14,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Built-up,0,4,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Bareland,0,10,119,60,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Forest,0,0,190,19,0,2,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Grassland,0,1,18,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Wetland,0,40,53,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Water,0,1,67,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,Cropland,0,1,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCN_M_R,Built-up,0,0,0,23,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCN_M_R,Bareland,0,0,0,83,0,0,0,0,0,0,22
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCN_M_R,Wetland,0,0,0,28,0,0,0,0,0,0,10
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCN_M_R,Water,0,0,0,0,0,0,0,0,0,0,27
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCN_M_R,Forest,0,0,0,7,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Forest,1,0,0,4,2,11,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Built-up,1,73,0,19,8,24,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Wetland,0,63,0,30,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Bareland,0,7,0,23,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Water,0,2,0,0,6,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Grassland,0,11,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,Cropland,0,5,0,0,0,0,0,0,0,0,0
