Dataset,MajorityClass,Shrubland,Grassland,Wetland,Water,Forest,Cropland,Bareland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Wetland,56,3,0,66,68,57,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Forest,113,37,106,49,0,103,12,5,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Water,24,0,127,0,35,23,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Shrubland,0,0,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Cropland,23,6,0,0,15,0,2,2,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Built-up,3,1,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Bareland,18,4,0,0,12,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Permanent_ice_and_snow,2,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Forest,0,0,34,21,0,9,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Water,0,0,110,0,17,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Cropland,0,0,0,0,4,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Grassland,0,0,9,0,29,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Wetland,0,0,0,96,92,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,Bareland,0,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,Wetland,0,216,0,128,316,40,78,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,Forest,0,16,2,4,0,5,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,Water,0,70,36,0,127,14,27,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,Shrubland,0,5,0,0,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,Cropland,0,4,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,Grassland,0,0,0,2,47,13,19,0,0,0,0,0
