Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Grassland,155,76,91,58,7,14,0,0,0,281,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Wetland,91,0,84,6,0,72,73,0,0,159,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Forest,0,183,191,64,11,56,297,0,0,357,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Bareland,4,1,0,16,1,0,21,0,0,44,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Water,126,271,144,33,0,0,77,0,0,143,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Cropland,24,0,7,8,0,0,37,0,0,53,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Built-up,13,3,1,0,1,0,41,0,0,55,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Grassland,166,95,3,115,255,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Forest,0,70,0,158,183,301,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Bareland,13,0,0,25,27,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Wetland,155,0,11,72,50,201,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Built-up,1,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Water,44,161,26,19,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYU_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Forest,0,4,19,0,101,45,82,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Wetland,443,0,12,0,23,252,280,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Bareland,12,0,0,0,10,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Water,272,53,15,0,2,0,62,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Built-up,29,0,0,0,10,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYU_M_R,Grassland,234,31,25,0,109,47,0,0,0,0,0,1
