Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Forest,0,0,0,0,0,0,148,0,0,117,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Grassland,0,181,399,13,15,155,29,540,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Wetland,2,162,68,0,29,11,44,217,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Bareland,0,13,111,5,0,89,2,96,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Water,1,306,367,221,49,77,0,520,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Forest,64,0,703,103,59,231,96,872,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Built-up,0,11,93,0,0,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Shrubland,0,5,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,Cropland,3,169,0,5,3,161,13,473,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Grassland,0,160,574,2,0,95,43,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Wetland,0,94,213,0,0,11,118,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Water,0,105,366,101,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Forest,0,0,702,85,0,235,329,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Shrubland,0,23,58,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Bareland,0,16,89,0,0,46,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Built-up,0,10,50,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,Cropland,0,129,0,1,0,84,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCD_M_R,Forest,103,0,143,4,58,0,63,0,0,0,0,0
