Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
