Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Built-up,10,0,82,0,0,15,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Water,139,0,843,6,0,128,149,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Forest,0,0,848,12,118,353,265,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Non_Water,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Cropland,5,0,34,2,1,35,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Wetland,20,0,267,0,8,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Grassland,28,0,260,37,5,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Forest,0,0,781,36,177,397,1,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Non_Wetland,0,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Bareland,30,4,0,19,94,92,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Built-up,0,0,45,0,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Non_Water,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Water,56,0,756,29,0,82,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Shrubland,1,0,11,2,2,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Cropland,2,0,44,8,0,27,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Wetland,11,0,303,1,25,39,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWN_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Grassland,0,0,0,0,6,0,34,0,86,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Bareland,0,0,0,0,79,0,237,0,406,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Water,0,0,0,0,0,0,297,0,141,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Cropland,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Built-up,0,0,0,0,2,0,3,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Forest,0,0,0,0,64,0,273,0,372,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWN_M_R,Wetland,0,0,0,0,1,0,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Bareland,0,0,0,0,517,0,0,0,0,195,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Grassland,0,0,0,0,41,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Cropland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Wetland,0,0,0,0,78,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Built-up,0,0,0,0,5,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Water,0,0,0,0,0,0,0,0,0,251,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWN_M_R,Forest,0,0,0,0,245,0,0,0,0,158,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Grassland,94,130,36,45,6,0,34,112,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Forest,0,169,186,76,64,136,273,242,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Bareland,199,279,0,211,79,142,237,266,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Built-up,6,24,2,0,2,8,3,19,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Water,136,91,140,55,0,51,297,129,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Cropland,3,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Wetland,7,10,1,8,1,3,0,11,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Grassland,70,109,3,40,76,0,58,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Forest,0,70,8,82,379,0,147,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Bareland,238,107,0,187,386,0,354,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Water,98,14,62,36,0,0,117,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Wetland,33,16,2,22,61,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Built-up,0,2,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWN_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Bareland,329,64,0,0,250,40,49,0,0,0,0,88
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Forest,0,31,61,0,73,39,9,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Wetland,114,12,25,0,62,10,0,0,0,0,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Built-up,28,4,8,0,6,9,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Water,357,3,103,0,0,11,21,0,0,0,0,28
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Cropland,5,0,1,0,3,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Grassland,155,34,26,0,44,0,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWN_M_R,Shrubland,4,1,0,0,0,0,0,0,0,0,0,0
