Dataset,MajorityClass,Shrubland,Forest,Wetland,Grassland,Water,Bareland,Non_Wetland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,Grassland,0,0,7,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,Shrubland,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,Forest,0,0,120,0,28,0,204,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,Wetland,0,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,Water,0,0,107,0,0,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,Grassland,53,19,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,Forest,174,0,120,14,28,2,0,22,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,Wetland,9,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,Water,47,88,107,1,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,Cropland,7,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,Wetland,0,23,0,0,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,Forest,0,0,0,0,131,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,Grassland,0,18,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,Shrubland,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,Water,0,26,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYC_M_R,Water,0,0,0,0,0,0,0,0,0,79,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYC_M_R,Wetland,0,0,0,0,4,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYC_M_R,Forest,0,0,0,0,49,0,0,0,0,48,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,Forest,0,0,8,9,102,28,0,0,72,0,44
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,Grassland,0,14,7,0,14,6,0,0,21,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,Shrubland,0,7,1,0,5,1,0,0,4,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,Wetland,0,42,0,0,20,6,0,0,14,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,Water,0,124,5,0,0,4,0,0,12,0,1
