Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Built-up,19,0,85,3,0,6,66,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Grassland,0,0,0,26,0,140,0,0,541,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Wetland,0,0,0,25,0,0,0,0,267,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Forest,0,0,0,135,0,337,0,0,944,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Water,0,0,0,0,0,469,0,0,423,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Shrubland,0,0,0,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Bareland,0,0,0,26,0,46,0,0,83,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Built-up,0,0,0,4,0,15,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,Cropland,0,0,0,4,0,15,0,0,68,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Non_Wetland,0,0,3,2,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Forest,0,19,696,382,263,475,655,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Grassland,73,58,463,140,335,192,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Built-up,7,0,172,15,95,23,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Bareland,14,35,0,25,225,14,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Wetland,16,0,224,302,36,0,210,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Water,60,15,491,0,101,342,218,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Shrubland,1,2,20,4,15,11,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Lichens_and_Mosses,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Cropland,18,18,150,15,0,29,81,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,Permanent_ice_and_snow,0,0,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Grassland,0,0,0,200,0,0,0,0,0,57,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Wetland,0,0,0,305,0,0,0,0,0,198,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Bareland,0,0,0,184,0,0,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Shrubland,0,0,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Built-up,0,0,0,18,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Water,0,0,0,0,0,0,0,0,0,288,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Forest,0,0,0,336,0,0,0,0,0,161,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,Cropland,0,0,0,22,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Grassland,226,95,144,26,14,140,0,349,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Forest,0,119,310,135,3,337,526,395,0,0,54,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Cropland,139,76,41,4,0,15,218,203,0,0,28,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Built-up,29,0,21,4,0,15,93,103,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Wetland,60,2,59,25,0,0,40,62,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Bareland,142,137,0,26,0,46,310,272,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Water,246,39,289,0,0,469,260,231,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Grassland,251,177,42,236,663,103,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Forest,0,198,23,412,452,158,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Bareland,131,138,0,159,217,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Built-up,7,0,15,9,64,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Water,154,38,22,0,155,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Wetland,151,40,5,238,133,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,Cropland,31,13,17,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Forest,0,0,148,56,141,40,92,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Cropland,39,0,101,5,0,2,43,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Bareland,117,0,0,60,31,12,10,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Wetland,479,0,14,156,7,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Water,477,0,53,0,5,133,35,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Built-up,67,0,73,8,36,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Grassland,419,0,186,141,140,136,0,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
