Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Grassland,1,0,0,74,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Shrubland,0,0,0,5,3,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Wetland,14,0,0,0,186,140,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Water,32,1,0,347,0,201,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Cropland,0,1,0,3,4,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Built-up,0,1,0,2,14,42,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Grassland,0,0,0,0,60,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Wetland,0,0,0,0,385,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Water,0,0,0,0,0,0,0,0,157,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Forest,0,0,0,0,296,0,0,0,91,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,Bareland,0,0,0,0,7,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Grassland,57,38,36,23,6,0,64,0,0,64,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Wetland,45,55,27,0,24,68,47,0,0,4,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Forest,0,175,113,187,58,177,178,0,0,111,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Water,125,147,49,267,0,138,93,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Bareland,6,0,24,3,0,4,13,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,Built-up,0,0,0,0,0,0,3,0,0,5,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,Grassland,42,4,44,19,38,0,0,0,0,20,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,Built-up,0,0,0,0,2,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,Forest,0,10,62,149,297,0,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,Water,127,40,10,208,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,Wetland,113,7,16,0,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,Bareland,3,0,1,0,5,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Forest,0,10,0,0,9,12,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Wetland,416,8,0,0,129,49,0,0,0,16,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Water,510,56,0,39,0,42,0,0,0,13,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Grassland,164,33,0,3,20,0,0,0,0,15,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Shrubland,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Built-up,10,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Bareland,4,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
