Dataset,MajorityClass,Bareland,Forest,Built-up,Water,Grassland,Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Wetland,2,2,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Water,37,135,32,0,47,109,61,3,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Cropland,0,2,0,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Bareland,0,8,0,2,1,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Permanent_ice_and_snow,0,7,0,0,1,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Grassland,0,0,0,4,0,14,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Forest,0,0,0,102,0,152,0,0,0,397,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Cropland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Built-up,0,0,0,0,0,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Wetland,0,0,0,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Bareland,0,0,0,2,0,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Water,0,0,0,0,0,109,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,Grassland,4,86,36,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,Forest,6,0,76,158,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,Wetland,0,45,7,40,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,Bareland,0,0,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,Water,1,103,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,Forest,45,0,0,216,33,1,0,43,0,0,52,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,Wetland,5,75,0,59,1,0,0,1,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,Grassland,26,68,0,79,0,3,0,19,0,0,26,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,Water,18,227,0,0,0,2,0,2,0,0,14,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,Built-up,0,11,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,Wetland,0,0,0,13,0,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,Forest,0,0,0,56,0,0,0,0,0,0,0,59
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,Water,0,0,0,0,0,0,0,0,0,0,0,77
