Dataset,MajorityClass,Bareland,Forest,Built-up,Cropland,Wetland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Cropland,0,0,0,0,3,0,0,0,122,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Non_Wetland,3,0,1,0,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Wetland,203,93,7,0,0,194,138,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Forest,165,0,56,0,318,538,44,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Grassland,74,51,38,0,44,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Shrubland,8,2,1,0,16,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Water,268,74,1,0,172,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Cropland,60,10,12,0,36,110,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Built-up,146,9,0,0,55,139,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Bareland,0,4,11,0,32,40,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Lichens_and_Mosses,1,0,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWH_M_R,Permanent_ice_and_snow,5,0,0,0,13,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Bareland,0,0,0,0,0,0,128,0,0,133,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Grassland,0,0,0,0,0,0,36,0,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Shrubland,0,0,0,0,0,0,3,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Wetland,0,0,0,0,0,0,258,0,0,249,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Cropland,0,0,0,0,0,0,6,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Built-up,0,0,0,0,0,0,21,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Forest,0,0,0,0,0,0,157,0,0,107,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWH_M_R,Water,0,0,0,0,0,0,0,0,0,314,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Grassland,12,163,51,297,40,0,0,210,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Wetland,16,159,52,162,0,46,20,293,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Bareland,0,23,168,283,192,30,19,96,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Forest,50,0,118,469,268,232,17,393,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Built-up,10,42,0,169,56,66,0,114,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Water,59,167,103,197,394,55,0,231,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Cropland,1,24,13,0,3,5,0,60,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWH_M_R,Permanent_ice_and_snow,0,2,2,18,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Wetland,52,275,262,185,0,0,335,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Forest,59,0,329,213,139,0,211,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Grassland,54,127,223,194,52,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Water,70,47,104,45,142,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Bareland,0,45,180,10,11,0,147,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Built-up,2,9,0,7,5,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Cropland,2,19,32,0,3,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWH_M_R,Permanent_ice_and_snow,0,1,5,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Wetland,50,756,0,45,0,102,222,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Forest,27,0,0,58,58,65,33,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Built-up,20,142,0,27,7,19,25,0,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Water,68,276,0,1,88,6,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Cropland,0,36,0,0,1,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Grassland,30,265,0,69,63,0,20,0,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Bareland,0,68,0,5,17,0,68,0,0,0,0,35
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWH_M_R,Shrubland,0,4,0,0,0,0,0,0,0,0,0,0
