Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Cropland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Wetland,0,0,0,0,0,0,9,0,79,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Water,0,0,62,0,0,0,0,0,74,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Cropland,0,0,11,0,0,0,7,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Water,55,84,62,59,27,11,0,0,0,65,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Cropland,28,35,11,21,11,0,7,0,0,27,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Wetland,8,27,0,14,1,2,9,0,0,10,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Bareland,15,23,14,0,6,0,7,0,0,11,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Built-up,13,7,1,5,0,4,0,0,0,8,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Forest,47,0,40,55,25,31,21,0,0,51,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWS_M_R,Grassland,0,26,12,15,3,9,5,0,0,14,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Grassland,0,33,27,1,12,21,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Wetland,0,47,0,16,12,28,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Water,0,92,103,49,29,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Forest,0,0,61,5,39,45,52,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Bareland,0,3,0,0,2,4,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWS_M_R,Cropland,0,16,15,0,10,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Water,51,96,32,61,0,77,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Wetland,36,57,0,22,0,39,38,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Forest,25,0,12,19,0,35,26,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Cropland,4,9,1,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Grassland,0,12,1,6,0,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Bareland,0,3,0,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWS_M_R,Built-up,0,6,0,0,0,2,0,0,0,0,0,0
