Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Cropland,0,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Grassland,0,0,0,0,0,25,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Cropland,0,0,0,0,0,6,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Wetland,0,0,0,0,0,18,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Built-up,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Water,0,0,0,0,0,0,0,0,0,113,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Forest,0,0,0,0,0,53,0,0,0,27,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Bareland,0,0,0,0,0,19,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Water,57,41,38,21,23,0,65,0,0,0,81,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Cropland,32,0,0,14,17,3,30,0,0,0,45,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Wetland,7,0,0,1,0,0,9,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Bareland,36,18,10,0,31,13,28,0,0,0,45,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Built-up,11,7,1,7,0,1,9,0,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Forest,43,29,17,21,22,15,0,0,0,0,76,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Grassland,0,12,3,12,13,5,27,0,0,0,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,Permanent_ice_and_snow,8,2,0,6,6,0,8,0,0,0,17,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Grassland,0,39,11,16,33,26,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Wetland,0,2,0,3,4,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Bareland,0,18,0,0,26,38,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Built-up,0,5,0,2,0,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Water,0,37,39,59,33,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Forest,0,31,17,21,36,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Cropland,0,0,1,14,27,6,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,Permanent_ice_and_snow,0,3,0,7,5,16,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Cropland,10,0,0,9,0,7,6,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Wetland,4,3,0,8,0,9,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Bareland,6,5,0,0,0,16,5,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Built-up,12,10,0,10,0,9,12,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Water,21,6,7,44,0,0,50,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Forest,25,16,2,18,0,23,0,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,Grassland,0,4,3,8,0,7,10,0,0,0,0,6
