Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Built-up,146,12,0,11,150,3,0,147,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Wetland,20,0,1,4,2,0,9,54,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Cropland,433,0,90,98,298,33,17,373,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Shrubland,0,0,0,0,0,0,0,0,81,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Grassland,0,0,0,0,0,17,19,0,132,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Wetland,0,0,0,0,0,0,9,0,94,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Forest,0,0,0,0,0,63,65,0,393,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Water,0,0,0,0,0,116,0,0,140,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Cropland,0,0,0,0,0,18,12,0,43,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Bareland,0,0,0,0,0,0,10,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,Built-up,0,0,0,0,0,2,3,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Shrubland,93,0,20,47,51,18,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Non_Wetland,3,0,0,2,1,5,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Grassland,0,0,33,183,36,21,17,305,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Cropland,466,0,81,255,140,14,25,556,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Wetland,19,0,2,13,4,0,28,69,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Bareland,56,0,25,20,0,0,11,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Built-up,126,0,0,38,62,2,7,155,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Water,110,0,4,71,9,20,0,330,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Forest,440,0,81,0,137,127,82,792,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Water,0,0,0,0,0,0,0,0,0,125,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Grassland,0,0,0,0,0,0,62,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Shrubland,0,0,0,0,0,0,46,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Wetland,0,0,0,0,0,0,19,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Bareland,0,0,0,0,0,0,2,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Forest,0,0,0,0,0,0,63,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Cropland,0,0,0,0,0,0,17,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,Built-up,0,0,0,0,0,0,4,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Grassland,0,147,72,248,41,17,19,355,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Bareland,18,67,60,76,0,0,10,172,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Forest,348,230,119,0,48,63,65,540,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Built-up,68,83,0,64,6,2,3,171,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Cropland,231,0,136,319,10,18,12,485,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Wetland,5,0,0,32,12,0,9,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Water,18,18,8,162,65,116,0,249,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,Shrubland,29,26,21,48,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Grassland,0,564,139,167,3,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Forest,0,535,250,0,0,3,126,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Shrubland,0,222,112,97,1,1,43,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Bareland,0,153,79,21,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Built-up,0,65,0,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Water,0,125,12,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Wetland,0,14,5,18,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,Cropland,0,0,76,101,5,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Forest,133,229,0,0,75,2,32,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Shrubland,82,151,0,172,86,5,60,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Cropland,102,0,0,106,165,0,13,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Wetland,24,16,0,69,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Water,28,51,0,189,8,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Bareland,3,40,0,19,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Built-up,4,114,0,83,40,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,Grassland,0,219,0,154,121,1,30,0,0,0,0
