Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Water,628,3,164,465,388,17,0,139,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Shrubland,59,12,11,33,48,8,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Bareland,13,11,6,6,0,3,5,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Cropland,521,0,183,319,417,148,130,273,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,Built-up,94,8,17,36,118,0,11,33,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Grassland,0,0,0,0,0,0,25,0,0,146,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Shrubland,0,0,0,0,0,0,5,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Bareland,0,0,0,0,0,0,1,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Water,0,0,0,0,0,0,0,0,0,776,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Cropland,0,0,0,0,0,0,59,0,0,138,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Wetland,0,0,0,0,0,0,35,0,0,416,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Forest,0,0,0,0,0,0,170,0,0,361,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,Built-up,0,0,0,0,0,0,3,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Grassland,0,447,264,133,12,72,18,542,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Bareland,0,92,14,3,0,73,17,125,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Forest,38,810,0,339,32,142,140,1046,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Wetland,0,39,58,0,3,1,6,104,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Cropland,2,0,275,90,15,172,32,651,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Built-up,0,166,30,5,0,0,8,152,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Water,1,421,304,372,70,23,0,621,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,Shrubland,0,12,6,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Grassland,0,651,175,18,0,72,52,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Wetland,0,379,99,0,0,30,151,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Bareland,0,170,4,0,0,93,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Forest,0,1097,0,41,0,269,448,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Shrubland,0,145,43,0,0,29,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Built-up,0,88,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Water,0,678,108,50,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,Cropland,0,0,114,8,0,141,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Bareland,2,26,34,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Forest,161,159,0,17,46,0,106,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Shrubland,30,45,128,0,12,0,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Cropland,213,0,364,6,127,0,95,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Wetland,173,58,434,0,5,0,229,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Water,34,37,552,39,11,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Built-up,8,104,80,0,67,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,Grassland,0,89,167,5,36,0,89,0,0,0,0
