Dataset,MajorityClass,Grassland,Wetland,Bareland,Shrubland,Forest,Built-up,Water,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Forest,490,297,166,344,0,156,100,1,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Wetland,34,0,45,77,55,13,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Bareland,138,18,0,139,62,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Built-up,138,26,14,126,62,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Water,130,341,136,132,168,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Cropland,150,12,13,147,88,72,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,Permanent_ice_and_snow,0,0,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Grassland,0,1,6,0,196,220,116,582,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Forest,0,10,5,0,0,312,288,397,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Wetland,0,0,2,0,161,144,191,153,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Bareland,0,0,0,0,39,140,27,128,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Built-up,0,0,4,0,17,0,4,59,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Water,0,0,0,0,89,47,0,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Cropland,0,0,0,0,12,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Forest,73,6,64,0,0,0,37,165,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Wetland,97,0,34,0,420,0,141,61,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Bareland,10,0,0,0,37,0,3,20,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Built-up,15,0,31,0,135,0,9,59,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Water,5,10,7,0,346,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Cropland,15,0,25,0,12,0,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Grassland,0,19,102,0,324,0,70,189,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,Shrubland,0,0,0,0,4,0,0,1,0,0,0,0
