Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,Bareland,0,0,0,0,0,25,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,Wetland,0,0,0,0,0,24,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,Water,0,0,0,0,0,0,0,0,299,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,Forest,0,0,0,0,0,248,0,0,161,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Grassland,216,250,34,94,129,61,0,0,0,105,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Forest,0,147,219,156,73,102,147,0,0,91,27,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Bareland,28,69,7,0,43,27,43,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Water,232,155,211,227,96,0,180,0,0,85,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Built-up,30,49,0,1,0,7,44,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Cropland,19,0,0,0,19,2,11,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Wetland,5,1,0,3,0,0,2,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Grassland,78,338,38,3,98,123,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Forest,0,107,42,4,75,335,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Bareland,6,63,0,0,19,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Built-up,0,24,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Water,76,147,17,30,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Cropland,3,0,0,0,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,Wetland,21,3,0,0,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Forest,0,41,9,20,0,46,27,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Bareland,22,11,1,0,0,21,19,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Water,430,13,26,74,0,0,73,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Cropland,13,0,0,19,0,5,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Built-up,36,39,0,11,0,8,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Wetland,66,2,0,1,0,13,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,Grassland,228,101,38,84,0,156,0,0,0,0,0,20
