Dataset,MajorityClass,Wetland,Grassland,Bareland,Forest,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Grassland,27,0,2,95,58,101,0,0,0,91,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Bareland,3,0,0,5,9,19,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Built-up,0,0,1,4,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Water,99,0,89,245,0,34,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Forest,35,0,5,0,308,93,0,0,0,44,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Wetland,0,0,4,118,113,24,0,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,Cropland,0,0,1,2,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Wetland,0,108,6,323,73,0,0,0,0,28,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Forest,1,21,4,0,15,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Water,46,79,139,691,0,0,0,0,0,41,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Bareland,0,1,0,11,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Built-up,0,4,6,44,2,0,0,0,0,12,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Grassland,7,0,9,212,42,0,0,0,0,27,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,Cropland,0,0,1,10,0,0,0,0,0,0,0,0
