Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,Bareland,0,0,0,0,11,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Grassland,79,0,70,0,39,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Non_Wetland,0,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Cropland,22,0,32,0,1,0,170,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Bareland,5,0,0,0,6,23,97,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Water,77,0,20,0,140,0,228,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Forest,0,0,75,0,173,120,362,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Shrubland,2,0,3,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Wetland,15,0,3,0,0,23,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Built-up,0,0,15,0,0,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Non_Wetland,0,0,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Bareland,0,30,0,0,1,2,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Forest,0,34,128,0,21,196,341,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Grassland,28,66,114,0,23,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Water,47,13,62,0,38,0,214,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Shrubland,0,1,2,0,1,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Cropland,4,0,52,0,8,4,96,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Wetland,5,2,12,0,0,43,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Built-up,0,6,8,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,Permanent_ice_and_snow,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,Grassland,0,0,0,0,0,44,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,Wetland,0,0,0,0,0,18,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,Forest,0,0,0,0,0,102,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,Water,0,0,0,0,0,0,0,0,117,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,Bareland,0,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Grassland,109,119,65,60,52,16,0,0,0,121,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Forest,0,67,70,8,135,35,66,0,0,97,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Bareland,42,50,0,24,11,0,16,0,0,20,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Water,122,37,87,7,207,0,18,0,0,86,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Cropland,29,0,0,23,1,0,26,0,0,34,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Built-up,0,3,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Wetland,3,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,Permanent_ice_and_snow,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Grassland,83,248,6,28,1,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Bareland,18,54,0,14,0,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Water,34,23,15,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Wetland,14,6,4,2,0,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Forest,0,79,3,13,13,206,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Cropland,6,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,Forest,0,26,65,0,20,34,21,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,Cropland,15,0,80,0,0,2,15,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,Wetland,53,0,5,0,0,15,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,Water,204,2,41,0,19,0,12,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,Grassland,127,55,108,0,34,70,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,Bareland,5,1,0,0,1,6,0,0,0,0,0,0
