Dataset,MajorityClass,Grassland,Water,Forest,Wetland,Cropland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Shrubland,131,24,22,103,20,123,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Cropland,428,21,41,63,0,259,12,177,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Built-up,106,2,7,6,8,122,0,51,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Shrubland,0,143,0,0,0,0,0,0,0,66,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Grassland,0,365,0,0,0,0,0,0,0,114,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Water,0,0,0,0,0,0,0,0,0,1055,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Bareland,0,147,0,0,0,0,0,0,0,112,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Wetland,0,803,0,0,0,0,0,0,0,401,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Forest,0,926,0,0,0,0,0,0,0,537,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Cropland,0,60,0,0,0,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,Built-up,0,13,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Grassland,0,113,459,130,678,49,99,831,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Wetland,6,197,490,0,144,47,3,552,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Bareland,8,37,23,162,288,0,65,201,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Water,64,0,703,707,663,210,25,981,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Forest,312,299,0,647,850,138,123,1089,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Cropland,46,7,127,8,0,3,44,290,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Built-up,5,3,19,3,104,0,0,101,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Shrubland,15,0,46,0,49,8,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,1,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Grassland,0,200,327,80,760,24,130,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Wetland,0,415,320,0,356,14,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Forest,0,736,0,272,524,11,251,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Shrubland,0,112,122,51,190,0,63,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Bareland,0,57,54,1,111,0,127,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Water,0,0,293,248,419,65,52,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Built-up,0,0,1,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,Cropland,0,5,51,0,0,15,54,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Wetland,349,400,963,0,59,32,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Bareland,30,20,77,1,35,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Water,290,0,1206,355,41,154,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Forest,202,148,0,99,96,59,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Shrubland,160,126,342,85,49,40,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Cropland,110,32,132,12,0,130,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Built-up,8,0,35,0,15,36,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,Grassland,0,127,350,88,131,130,0,0,0,0,5
