Dataset,MajorityClass,Wetland,Shrubland,Grassland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Water,20,0,248,56,435,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Forest,6,0,456,13,0,4,109,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Cropland,0,0,36,1,18,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Built-up,0,0,68,5,55,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R,Permanent_ice_and_snow,0,0,5,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Grassland,44,53,0,65,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Non_Wetland,9,4,3,5,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Wetland,0,81,133,228,10,0,128,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Forest,283,391,408,529,0,0,203,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Water,86,65,137,409,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Shrubland,28,0,36,29,1,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Cropland,11,14,18,15,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Bareland,12,21,94,0,9,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Built-up,11,41,47,41,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,Permanent_ice_and_snow,0,1,1,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Wetland,0,0,0,0,0,0,0,106,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Grassland,18,0,0,0,0,0,0,148,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Forest,305,0,0,0,0,0,56,739,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Bareland,165,0,0,0,0,0,25,172,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Water,400,0,0,0,0,0,0,220,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Shrubland,0,0,0,0,0,0,0,79,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Cropland,0,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Built-up,0,0,0,0,0,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Grassland,0,0,0,0,0,0,17,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Bareland,0,0,0,0,0,0,244,0,84,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Shrubland,0,0,0,0,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Wetland,0,0,0,0,0,0,168,0,107,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Forest,0,0,0,0,0,0,219,0,136,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Built-up,0,0,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,Water,0,0,0,0,0,0,0,0,211,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Grassland,18,81,0,21,52,35,0,0,0,73,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Forest,305,292,138,245,0,85,56,0,0,165,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Wetland,0,31,1,8,19,3,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Bareland,165,154,61,0,81,63,25,0,0,132,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Water,400,121,10,130,113,13,0,0,0,30,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Shrubland,0,0,4,5,5,5,0,0,0,10,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Built-up,0,11,3,0,5,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Cropland,0,9,0,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,Permanent_ice_and_snow,0,1,0,0,0,1,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Grassland,5,0,0,3,43,52,20,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Wetland,0,0,0,34,88,44,161,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Bareland,55,0,0,0,123,117,175,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Forest,58,0,0,7,0,151,345,0,0,13,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Water,18,0,0,52,65,16,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Shrubland,3,0,0,1,18,29,7,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Shrubland,0,0,13,6,50,0,2,0,0,14,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Wetland,0,0,30,57,280,0,62,0,0,19,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Forest,0,0,26,15,0,0,30,0,0,18,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Bareland,24,0,7,0,167,0,132,0,0,10,0,101
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Grassland,1,0,0,35,109,0,6,0,0,21,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Water,28,0,0,87,388,0,0,0,0,14,0,42
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Built-up,0,0,0,1,15,0,3,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
