Dataset,MajorityClass,Grassland,Cropland,Built-up,Water,Forest,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Forest,386,0,176,400,0,205,371,72,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Shrubland,12,0,3,4,10,7,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Wetland,4,0,0,26,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Built-up,57,0,0,61,73,113,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,Water,91,0,46,0,159,41,131,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Grassland,0,0,0,20,0,0,10,0,247,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Wetland,0,0,0,0,0,0,0,0,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Forest,0,0,0,93,0,0,171,0,734,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Shrubland,0,0,0,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Cropland,0,0,0,19,0,0,16,0,311,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Bareland,0,0,0,8,0,0,2,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Water,0,0,0,0,0,0,218,0,269,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,Built-up,0,0,0,21,0,0,6,0,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Forest,336,160,110,334,0,424,435,74,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Non_Wetland,0,0,0,0,1,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Grassland,0,84,17,62,132,120,148,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Bareland,25,0,5,8,24,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Shrubland,13,4,2,2,8,12,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Cropland,278,0,141,65,222,237,168,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Water,51,3,29,0,174,175,242,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Wetland,3,0,0,36,13,20,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Built-up,108,25,0,12,67,136,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Bareland,0,0,0,6,0,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Water,0,0,0,0,0,0,0,0,0,540,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Grassland,0,0,0,43,0,0,0,0,0,55,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Cropland,0,0,0,54,0,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Wetland,0,0,0,18,0,0,0,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Built-up,0,0,0,23,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,Forest,0,0,0,212,0,0,0,0,0,296,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Grassland,0,350,131,20,254,34,10,306,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Forest,222,620,239,93,0,111,171,547,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Cropland,98,0,190,19,264,30,16,320,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Wetland,1,9,5,0,35,2,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Bareland,3,151,138,8,38,0,2,39,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Built-up,23,202,0,21,102,3,6,113,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Water,52,476,93,0,435,131,218,193,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Grassland,0,507,198,56,195,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Bareland,0,115,92,15,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Built-up,0,114,0,19,19,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Forest,0,761,370,436,0,4,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Wetland,0,61,4,45,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Shrubland,0,15,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Water,0,470,92,0,106,6,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Cropland,0,0,190,17,117,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Water,107,65,0,0,488,32,43,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Forest,164,197,0,123,0,41,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Cropland,179,0,0,72,229,45,7,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Wetland,21,5,0,36,84,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Bareland,13,14,0,16,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Shrubland,3,2,0,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Built-up,63,160,0,41,189,50,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,Grassland,0,117,0,37,177,11,2,0,0,0,0,2
