Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Non_Wetland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,Cropland,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Water,4,1,2,58,0,48,0,54,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Wetland,0,0,1,9,2,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Bareland,10,0,1,23,6,4,0,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Built-up,2,0,0,5,1,1,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Forest,21,2,8,0,16,32,0,54,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Grassland,0,0,0,4,0,2,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Cropland,0,0,3,9,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Wetland,0,0,0,0,2,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Forest,0,0,0,0,16,32,0,0,27,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Built-up,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Water,0,0,0,0,0,48,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Grassland,0,0,0,0,0,2,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Cropland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,Bareland,0,0,0,0,6,4,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Water,0,21,29,27,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Forest,0,10,29,0,36,24,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Wetland,0,6,10,9,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Grassland,0,1,6,5,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Cropland,0,1,4,3,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Bareland,0,0,1,5,7,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,Wetland,2,10,0,22,23,0,0,0,0,8,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,Forest,7,12,0,0,19,3,0,0,0,19,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,Water,7,21,0,53,0,28,0,0,0,25,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,Grassland,0,1,0,7,2,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,Bareland,0,0,0,0,1,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
