Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R
14230,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
14231,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
14232,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
14233,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
14234,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
14235,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
14236,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
14237,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
14238,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
14239,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
14240,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
14241,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
14242,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
14243,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
14244,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
14245,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
14246,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
14247,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
14248,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
14249,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
14250,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
14251,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
14252,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
14253,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
14254,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Water,Water
14255,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
14256,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
14257,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
14258,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
14259,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
14260,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
14261,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14262,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
14263,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
14264,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
14265,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
14266,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
14267,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
14268,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
14269,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
14270,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
14271,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Forest
14272,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
14273,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
14274,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
14275,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
14276,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
14277,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
14278,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
14279,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
14280,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
14281,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
14282,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
14283,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
14284,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
14285,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
14286,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
14287,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
14288,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
14289,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
14290,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
14291,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
14292,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
14293,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,NULL
14294,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
14295,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
14296,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Water,Forest
14297,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
14298,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Forest
14299,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
14300,Forest,Forest,Shrubland,Water,Non_Wetland,Forest,Water,Forest
14301,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
14302,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
14303,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
14304,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
14305,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
14306,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
14307,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
14308,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Cropland
14309,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
14310,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
14311,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
14312,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
14313,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
14314,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
14315,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
14316,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
14317,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
14318,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
14319,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Forest
14320,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
14321,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
14322,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Cropland
14323,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
14324,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
14325,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
14326,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
14327,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
14328,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
14329,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
14330,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
14331,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
14332,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
14333,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
14334,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
14335,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
14336,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
14337,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
14338,Forest,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
14339,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
14340,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
14341,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
14342,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
14343,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
14344,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14345,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
14346,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
14347,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14348,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
14349,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
14350,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
14351,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
14352,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
14353,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
14354,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
14355,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
14356,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
14357,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
14358,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
14359,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
14360,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
14361,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
14362,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
14363,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
14364,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14365,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
14366,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
14367,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
14368,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
14369,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
14370,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
14371,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
14372,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
14373,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
14374,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
14375,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
14376,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
14377,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
14378,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
14379,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
14380,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
14381,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
14382,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
14383,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
14384,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
14385,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
14386,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
14387,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
14388,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
14389,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
14390,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
14391,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
14392,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
14393,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Water,Water
14394,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Water,Forest
14395,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
14396,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
14397,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14398,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
14399,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
14400,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
14401,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
14402,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Grassland
14403,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
14404,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest,Grassland
14405,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest,Forest
14406,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
14407,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
14408,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
14409,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,NULL,NULL
14410,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
14411,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
14412,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
14413,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
14414,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
14415,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,NULL,Forest
14416,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
14417,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
14418,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Forest,Grassland
14419,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
