Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Cropland,0,0,1,8,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Built-up,0,0,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Water,58,0,0,131,209,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Bareland,0,0,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,Wetland,1,0,2,6,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,Grassland,65,4,4,0,0,5,21,25,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,Bareland,7,0,0,0,8,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,Forest,0,14,79,80,112,69,72,34,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,Water,157,6,0,62,66,81,48,2,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,Cropland,4,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,Grassland,0,0,14,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,Water,0,0,0,0,0,0,0,0,0,161,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,Forest,0,0,162,0,0,0,0,0,0,110,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,Bareland,0,0,1,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,Wetland,0,0,4,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,Grassland,0,0,4,0,0,5,0,0,0,0,13
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,Forest,0,0,79,0,0,69,0,0,0,0,268
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,Water,0,0,0,0,0,81,0,0,0,0,93
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,Grassland,33,36,22,1,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,Bareland,2,0,13,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,Forest,0,27,250,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,Water,70,3,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,Wetland,10,0,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,Forest,0,0,35,3,15,1,0,16,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,Grassland,54,0,19,5,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,Water,229,0,0,53,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,Wetland,19,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
