Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Water,79,0,193,116,0,331,437,248,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Built-up,49,0,165,0,131,109,85,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,Permanent_ice_and_snow,1,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Grassland,0,63,80,19,8,94,126,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Non_Wetland,2,0,2,0,0,2,17,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Forest,334,187,789,85,233,0,763,519,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Water,23,48,876,71,0,491,464,277,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Shrubland,51,12,91,8,7,35,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Wetland,16,4,97,1,177,213,0,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Bareland,23,19,0,42,12,26,13,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Built-up,105,25,341,0,14,89,68,151,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Cropland,444,0,499,251,82,320,387,320,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Grassland,0,0,0,0,13,0,42,0,280,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Cropland,0,0,0,0,56,0,86,0,815,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Wetland,0,0,0,0,10,0,0,0,603,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Forest,0,0,0,0,158,0,385,0,1598,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Bareland,0,0,0,0,99,0,30,0,52,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Water,0,0,0,0,0,0,545,0,629,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Shrubland,0,0,0,0,0,0,0,0,123,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,Built-up,0,0,0,0,40,0,28,0,147,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Grassland,0,384,31,76,13,180,42,382,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Wetland,2,76,25,16,10,89,0,232,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Bareland,5,301,0,241,99,56,30,290,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Built-up,6,344,26,0,40,107,28,303,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Water,33,543,341,158,0,405,545,638,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Forest,119,938,243,312,158,0,385,1131,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Cropland,29,0,96,303,56,325,86,726,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Shrubland,3,18,2,12,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,Permanent_ice_and_snow,0,4,0,2,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Shrubland,0,0,0,0,18,0,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Grassland,0,0,0,0,22,0,0,0,0,0,33,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Bareland,0,0,0,0,85,0,0,0,0,0,68,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Water,0,0,0,0,0,0,0,0,0,0,992,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Built-up,0,0,0,0,35,0,0,0,0,0,65,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Forest,0,0,0,0,312,0,0,0,0,0,438,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Wetland,0,0,0,0,195,0,0,0,0,0,333,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Cropland,0,0,0,0,141,0,0,0,0,0,131,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Grassland,0,559,1,98,33,135,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Wetland,0,587,0,83,145,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Bareland,0,392,0,255,54,10,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Built-up,0,191,9,0,16,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Water,0,1006,15,322,0,160,104,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Forest,0,1306,0,662,581,0,118,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Shrubland,0,149,0,95,37,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Cropland,0,0,5,294,35,122,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,Permanent_ice_and_snow,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Wetland,145,77,30,0,206,551,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Forest,149,164,80,0,182,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Shrubland,44,49,35,0,49,159,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Cropland,270,0,263,0,115,406,17,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Built-up,41,230,164,0,60,254,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Water,45,65,98,0,0,750,78,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Bareland,4,36,0,0,70,61,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,Grassland,0,71,51,0,18,104,0,0,0,0,0,1
