Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Cropland,0,0,0,0,33,0,2,0,29,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Built-up,0,0,0,0,11,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,Water,0,0,0,0,219,0,0,0,200,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Grassland,0,87,52,161,29,283,23,220,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Non_Wetland,0,0,0,1,4,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Forest,612,79,140,0,188,635,177,645,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Built-up,160,10,0,61,2,292,8,147,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Water,47,0,22,163,110,63,0,91,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Shrubland,53,13,21,29,9,70,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Cropland,414,0,93,173,5,524,13,338,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Wetland,65,0,0,74,0,26,56,80,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,Bareland,48,44,8,5,0,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Grassland,0,0,0,0,0,0,42,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Bareland,0,0,0,0,0,0,3,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Wetland,0,0,0,0,0,0,38,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Forest,0,0,0,0,0,0,108,0,0,104,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Cropland,0,0,0,0,0,0,14,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Built-up,0,0,0,0,0,0,14,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,Water,0,0,0,0,0,0,0,0,0,162,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Grassland,0,227,79,345,61,42,16,347,0,0,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Built-up,92,133,0,137,11,6,0,207,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Forest,434,350,209,0,269,77,51,654,0,0,14
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Cropland,250,0,142,390,33,25,2,453,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Bareland,50,133,61,136,0,0,0,187,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Shrubland,27,21,17,42,0,4,0,0,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Water,52,45,16,222,219,22,0,191,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,Wetland,5,0,1,32,0,0,1,15,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Grassland,0,694,195,171,1,3,71,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Built-up,0,69,0,11,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Forest,0,734,530,0,26,0,265,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Shrubland,0,141,104,70,1,1,24,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Bareland,0,252,137,17,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Wetland,0,54,24,8,0,0,78,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Cropland,0,0,154,54,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,Water,0,74,18,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Forest,220,290,0,0,82,126,162,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Shrubland,60,107,0,107,18,62,37,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Cropland,140,0,0,134,5,171,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Wetland,42,23,0,111,0,4,110,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Built-up,4,158,0,144,0,25,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Water,4,13,0,70,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Bareland,4,46,0,25,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,Grassland,0,201,0,227,73,109,103,0,0,0,0
