Dataset,MajorityClass,Water,Grassland,Wetland,Bareland,Built-up,Forest,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,Forest,184,29,273,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,Grassland,0,0,5,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,Bareland,0,0,4,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,Water,0,0,218,0,0,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,Wetland,5,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,Grassland,0,0,0,0,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,Forest,190,0,2,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,Water,0,0,0,5,0,108,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,Bareland,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,Wetland,36,0,0,0,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBP_M_R,Water,0,1,0,38,0,335,0,6,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBP_M_R,Grassland,0,0,0,3,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBP_M_R,Forest,5,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBP_M_R,Wetland,9,0,0,0,0,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,Water,0,0,0,0,0,0,0,0,0,0,0,147
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,Wetland,14,0,0,0,0,0,0,0,0,0,0,19
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,Forest,165,0,0,0,0,0,0,0,0,0,0,123
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0,0
