Dataset,MajorityClass,Grassland,Wetland,Shrubland,Forest,Bareland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Wetland,243,0,0,156,24,66,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Built-up,94,0,0,50,34,0,0,15,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Water,555,219,0,535,178,0,8,17,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Shrubland,0,0,0,0,0,0,0,0,105,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Grassland,0,77,0,0,0,42,0,0,438,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Wetland,0,0,0,0,0,25,0,0,328,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Forest,0,281,0,0,0,114,0,0,763,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Water,0,335,0,0,0,0,0,0,326,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Bareland,0,52,0,0,0,64,0,0,219,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Cropland,0,2,0,0,0,3,0,0,81,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Built-up,0,0,0,0,0,3,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Grassland,0,178,257,95,388,164,23,190,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Non_Wetland,4,12,4,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Bareland,91,4,30,3,0,74,5,41,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Forest,603,245,546,0,576,335,19,154,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Wetland,85,0,138,25,157,222,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Water,200,128,259,64,484,0,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Shrubland,54,25,0,5,41,12,3,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Built-up,49,1,2,2,86,25,0,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Cropland,237,54,97,16,219,47,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Grassland,0,0,0,0,0,158,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Bareland,0,0,0,0,0,218,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Shrubland,0,0,0,0,0,7,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Wetland,0,0,0,0,0,99,0,0,0,84,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Water,0,0,0,0,0,0,0,0,0,253,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Forest,0,0,0,0,0,242,0,0,0,108,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,Cropland,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Grassland,0,77,508,296,17,42,85,199,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Wetland,18,0,93,118,12,25,2,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Forest,437,281,519,0,42,114,54,172,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Bareland,153,52,371,149,0,64,110,163,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Built-up,21,0,60,4,0,3,0,39,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Cropland,165,2,264,121,1,3,57,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Water,156,335,346,291,64,0,11,52,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Shrubland,7,0,0,12,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,Permanent_ice_and_snow,0,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Grassland,0,25,0,236,12,140,119,584,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Forest,0,99,0,0,1,341,78,303,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Wetland,0,0,0,68,0,106,3,81,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Bareland,0,167,0,107,0,151,98,153,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Shrubland,0,1,0,16,0,17,5,62,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Built-up,0,0,0,0,0,1,0,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Water,0,77,0,68,12,0,19,88,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,Cropland,0,0,0,35,6,0,20,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Forest,83,48,0,0,125,62,0,82,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Shrubland,25,24,0,71,37,24,0,14,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Wetland,30,0,0,228,9,90,0,4,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Cropland,80,1,0,83,132,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Bareland,15,40,0,101,0,98,0,12,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Water,26,126,0,392,42,0,0,6,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Built-up,1,0,0,28,19,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,Grassland,0,67,0,328,211,137,0,139,0,0,8
