Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Wetland,39,0,3,0,51,130,337,78,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Shrubland,0,0,0,0,0,0,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Grassland,0,0,0,153,0,84,0,0,653,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Wetland,0,0,0,0,0,9,0,0,173,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Bareland,0,0,0,18,0,15,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Cropland,0,0,0,13,0,13,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Water,0,0,0,492,0,0,0,0,306,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Built-up,0,0,0,42,0,22,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,Forest,0,0,0,389,0,156,0,0,709,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Grassland,36,138,157,176,645,237,0,378,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Non_Wetland,0,0,0,2,2,0,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Forest,0,88,88,200,673,449,941,523,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Water,101,8,186,61,739,0,516,242,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Shrubland,1,15,14,9,62,28,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Wetland,13,11,6,0,214,241,270,116,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Built-up,13,22,0,1,303,35,210,60,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Bareland,0,32,23,5,0,18,73,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Cropland,8,0,96,39,397,59,326,128,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Grassland,0,0,0,0,0,241,0,0,0,166,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Wetland,0,0,0,0,0,96,0,0,0,117,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Bareland,0,0,0,0,0,61,0,0,0,22,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Shrubland,0,0,0,0,0,5,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Cropland,0,0,0,0,0,17,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Built-up,0,0,0,0,0,29,0,0,0,33,0,0
