Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Water,76,270,65,0,39,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Shrubland,12,13,10,3,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Cropland,149,173,45,20,35,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Wetland,125,0,77,201,20,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Built-up,39,47,22,19,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,Permanent_ice_and_snow,4,18,7,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Wetland,0,0,0,13,0,0,0,849,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Water,0,141,0,0,0,0,0,361,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Shrubland,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Grassland,0,26,0,1,0,0,0,363,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Cropland,0,13,0,0,0,0,0,209,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Bareland,0,37,0,8,0,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Built-up,0,14,0,0,0,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Forest,0,80,0,24,0,0,0,583,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Grassland,0,0,0,155,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Wetland,0,0,0,300,0,0,0,0,115,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Shrubland,0,0,0,9,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Water,0,0,0,0,0,0,0,0,245,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Cropland,0,0,0,78,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Bareland,0,0,0,81,0,0,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Built-up,0,0,0,33,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,Forest,0,0,0,195,0,0,0,0,91,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Grassland,0,26,39,1,117,36,159,0,0,170,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Wetland,91,0,38,13,146,31,128,0,0,232,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Bareland,28,51,0,14,28,106,114,0,0,47,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Built-up,29,14,5,0,23,0,68,0,0,40,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Water,77,154,82,0,133,69,145,0,0,223,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Forest,153,80,54,24,0,103,246,0,0,218,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Cropland,52,13,8,0,64,45,0,0,0,107,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,Permanent_ice_and_snow,4,0,0,0,6,7,16,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Grassland,0,111,0,30,107,60,231,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Wetland,0,0,4,96,93,38,213,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Bareland,0,8,0,57,42,30,63,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Built-up,0,0,2,1,6,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Water,0,165,25,0,48,37,182,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Forest,0,141,6,125,0,103,170,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Cropland,0,8,2,7,38,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,Permanent_ice_and_snow,0,0,0,0,2,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Wetland,172,0,33,103,292,0,60,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Bareland,12,10,0,12,17,0,11,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Water,83,98,57,0,207,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Forest,45,7,19,16,0,0,35,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Built-up,17,0,20,15,57,0,24,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Cropland,30,6,11,7,38,0,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,Grassland,0,31,23,21,81,0,43,0,0,0,0,12
