Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Wetland,0,0,0,1,0,0,0,185,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Forest,0,0,0,32,111,0,0,646,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Bareland,0,0,0,0,2,0,0,50,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Water,0,0,0,0,144,0,0,293,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Shrubland,0,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Cropland,0,0,0,0,0,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,Built-up,0,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Grassland,0,0,0,41,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Wetland,0,0,0,54,0,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Water,0,0,0,0,0,0,0,0,155,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Forest,0,0,0,111,0,0,0,0,83,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,Bareland,0,0,0,1,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Grassland,111,54,44,7,14,0,92,0,0,92,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Wetland,25,8,25,1,0,30,32,0,0,17,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Forest,0,73,117,32,111,133,136,0,0,96,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Bareland,11,23,0,0,2,5,22,0,0,28,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Built-up,12,0,0,0,0,3,12,0,0,31,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Water,90,42,113,0,144,101,68,0,0,31,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,Cropland,10,5,1,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Grassland,42,32,0,18,13,0,0,0,0,113,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Bareland,0,9,0,16,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Forest,0,29,1,233,30,0,0,0,0,84,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Wetland,63,1,3,70,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Built-up,1,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Water,53,0,8,0,67,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Wetland,202,0,10,36,0,39,0,0,0,8,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Forest,0,0,15,19,2,30,0,0,0,26,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Built-up,39,0,13,0,0,1,0,0,0,12,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Water,325,0,36,0,18,13,0,0,0,10,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Grassland,156,0,51,25,5,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Bareland,11,0,0,0,0,0,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Shrubland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,Cropland,9,0,2,1,0,0,0,0,0,0,0,0
