Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPL_M_R,Bareland,0,0,0,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Grassland,0,0,0,0,0,125,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Shrubland,0,0,0,0,0,62,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Water,0,0,0,0,0,0,0,0,0,89,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Cropland,0,0,0,0,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Bareland,0,0,0,0,0,6,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Wetland,0,0,0,0,0,88,0,0,0,105,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPL_M_R,Forest,0,0,0,0,0,139,0,0,0,73,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Grassland,0,195,10,22,258,0,36,164,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Water,13,37,6,0,105,0,143,38,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Forest,205,217,9,17,0,12,143,240,0,0,16
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Bareland,9,110,0,16,80,0,0,70,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Cropland,94,0,1,31,225,0,2,155,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Built-up,34,115,2,0,57,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Shrubland,39,35,12,12,53,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Wetland,27,0,2,0,28,1,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPL_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Grassland,0,339,0,45,53,2,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Shrubland,0,104,0,52,62,8,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Forest,0,181,2,96,0,62,81,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Bareland,0,74,0,8,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Wetland,0,28,0,1,29,38,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Built-up,0,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Cropland,0,0,1,34,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPL_M_R,Water,0,7,0,8,6,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Forest,142,135,61,0,0,36,20,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Shrubland,109,83,55,0,110,26,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Cropland,66,0,79,0,27,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Wetland,128,11,3,0,123,69,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Water,20,1,11,0,64,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Built-up,1,25,11,0,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Bareland,2,5,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPL_M_R,Grassland,0,96,66,0,73,5,4,0,0,0,0
