Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Forest,Shrubland,Built-up,Non_Wetland,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Grassland,0,0,0,0,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Bareland,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Built-up,0,0,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Forest,0,26,7,0,0,0,0,140,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Water,0,14,0,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUV_M_R,Cropland,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUV_M_R,Grassland,0,0,0,2,8,12,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUV_M_R,Wetland,3,0,1,8,4,8,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUV_M_R,Forest,30,26,7,37,0,54,5,0,5,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUV_M_R,Built-up,1,0,0,0,1,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUV_M_R,Water,7,14,0,13,12,19,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUV_M_R,Cropland,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUV_M_R,Grassland,0,0,6,0,9,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUV_M_R,Wetland,0,0,19,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUV_M_R,Water,0,18,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUV_M_R,Forest,0,15,53,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Wetland,9,0,8,0,52,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Forest,7,0,0,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Shrubland,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Grassland,0,0,1,1,14,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Water,0,3,0,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Built-up,0,0,1,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUV_M_R,Bareland,0,0,0,0,2,0,0,0,0,0
