Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Water,Grassland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Forest,0,60,235,712,413,687,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Non_Water,0,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Shrubland,8,5,11,22,15,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Cropland,11,9,17,48,26,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDB_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Grassland,0,0,0,94,29,0,536,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Wetland,0,0,0,0,35,0,919,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Water,0,0,0,585,0,0,1081,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Forest,0,0,0,303,132,0,1314,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Bareland,0,0,0,71,22,0,241,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Shrubland,0,0,0,0,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Built-up,0,0,0,15,6,0,137,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Cropland,0,0,0,2,1,0,83,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Non_Wetland,0,0,7,17,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Forest,0,63,554,735,239,535,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Grassland,65,83,337,324,41,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Water,149,40,790,937,0,177,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Non_Water,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Shrubland,0,5,30,31,8,9,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Bareland,1,15,0,57,14,29,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Built-up,4,0,145,105,17,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Wetland,29,3,557,0,294,202,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Cropland,4,8,82,46,1,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDB_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Bareland,0,0,0,0,94,0,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Water,0,0,0,0,0,0,0,0,564,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Grassland,0,0,0,0,128,0,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Forest,0,0,0,0,433,0,0,0,184,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Wetland,0,0,0,0,667,0,0,0,436,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Shrubland,0,0,0,0,10,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Built-up,0,0,0,0,12,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDB_M_R,Cropland,0,0,0,0,11,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Grassland,142,103,92,94,29,0,0,14,0,272,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Bareland,29,161,0,71,22,103,0,0,0,234,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Built-up,25,0,5,15,6,89,0,0,0,86,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Forest,0,188,263,303,132,475,0,20,0,522,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Wetland,47,71,63,0,35,104,0,0,0,378,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Water,199,196,214,585,0,290,0,0,0,571,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Cropland,11,15,2,2,1,24,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDB_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Grassland,163,134,23,47,140,0,0,256,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Wetland,121,80,41,0,431,0,0,194,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Bareland,20,37,0,22,87,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Built-up,12,0,17,0,13,0,0,39,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Forest,0,173,13,252,551,0,0,128,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Water,71,42,105,300,0,0,0,97,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Cropland,0,1,1,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDB_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDB_M_R,Forest,0,0,22,10,82,68,0,71,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDB_M_R,Bareland,64,0,0,6,38,18,0,17,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDB_M_R,Wetland,736,0,47,0,307,61,0,142,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDB_M_R,Water,674,0,93,203,0,42,0,52,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDB_M_R,Built-up,102,0,39,0,17,14,0,50,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDB_M_R,Grassland,322,0,57,27,102,0,0,133,0,0,0,13
