Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Built-up,170,0,58,102,0,0,0,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Water,556,103,203,499,3,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Forest,558,57,53,0,91,78,0,130,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R,Permanent_ice_and_snow,9,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Grassland,0,167,272,30,34,75,19,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Non_Wetland,1,5,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Forest,673,429,473,0,27,258,107,137,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Wetland,120,0,20,3,1,118,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Built-up,105,12,152,4,0,6,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Shrubland,28,15,24,1,4,4,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Cropland,340,110,359,26,116,17,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Bareland,33,12,0,0,14,1,2,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Water,292,246,243,41,63,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,Permanent_ice_and_snow,0,0,9,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Grassland,0,56,0,0,0,63,0,0,369,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Wetland,0,0,0,0,0,13,0,0,158,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Forest,0,191,0,0,0,113,0,0,874,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Shrubland,0,0,0,0,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Cropland,0,7,0,0,0,20,0,0,274,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Bareland,0,3,0,0,0,14,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Water,0,239,0,0,0,0,0,0,289,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Built-up,0,3,0,0,0,9,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Grassland,0,0,0,0,0,74,0,0,0,79,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Wetland,0,0,0,0,0,42,0,0,0,73,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Cropland,0,0,0,0,0,6,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Water,0,0,0,0,0,0,0,0,0,275,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Forest,0,0,0,0,0,123,0,0,0,142,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Built-up,0,0,0,0,0,1,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,Bareland,0,0,0,0,0,6,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Grassland,0,56,28,237,107,63,462,334,0,0,41,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Wetland,0,0,1,44,1,13,58,9,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Built-up,0,3,0,25,0,9,119,107,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Forest,42,191,63,0,97,113,547,335,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Cropland,26,7,0,136,93,20,268,0,0,0,38,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Bareland,0,3,0,22,75,14,119,134,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Water,5,239,57,197,31,0,292,154,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Shrubland,0,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Grassland,0,1,3,171,124,137,0,565,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Wetland,0,0,0,77,8,120,0,114,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Forest,0,6,0,0,218,283,0,391,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Bareland,0,0,0,14,86,20,0,124,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Built-up,0,0,4,1,0,1,0,51,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Shrubland,0,0,0,4,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Water,0,9,3,78,35,0,0,224,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Cropland,0,0,9,68,101,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Forest,64,5,36,0,0,52,0,119,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Shrubland,6,0,1,25,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Cropland,102,0,132,128,0,20,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Wetland,27,0,1,211,0,75,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Water,25,48,12,389,0,0,0,12,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Bareland,12,0,0,23,0,17,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Built-up,9,0,46,52,0,7,0,65,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,Grassland,0,15,93,236,0,111,0,94,0,0,0,10
