Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Built-up,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Grassland,0,20,2,0,0,0,0,448,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Forest,0,68,11,0,0,0,0,656,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Water,0,228,0,0,0,0,0,378,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Shrubland,0,0,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Cropland,0,3,0,0,0,0,0,281,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Built-up,0,45,2,0,0,0,0,166,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Bareland,0,61,1,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Non_Wetland,3,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Wetland,164,0,8,38,5,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Bareland,27,0,0,0,11,3,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Built-up,107,43,19,148,0,14,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Forest,309,185,29,105,51,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Grassland,0,25,2,42,33,46,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Water,34,242,0,153,43,13,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Shrubland,8,3,1,8,3,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Cropland,298,13,0,63,76,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Grassland,0,0,233,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Wetland,0,0,197,0,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Bareland,0,0,99,0,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Shrubland,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Cropland,0,0,121,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Built-up,0,0,68,0,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Forest,0,0,149,0,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,Water,0,0,0,0,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Grassland,0,20,2,18,162,157,347,0,0,337,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Wetland,0,0,10,18,55,107,115,0,0,225,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Forest,9,69,11,22,171,0,310,0,0,310,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Bareland,0,69,2,0,128,9,125,0,0,42,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Built-up,0,48,2,7,0,43,173,0,0,108,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Water,0,255,0,55,227,123,181,0,0,161,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Cropland,0,3,0,5,138,61,0,0,0,167,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,1,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Grassland,0,0,21,2,112,62,424,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Wetland,0,0,116,1,97,80,205,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Built-up,0,0,13,4,0,12,97,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Bareland,0,0,90,0,118,13,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Forest,0,5,117,0,258,0,295,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Water,0,4,0,2,181,33,95,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Cropland,0,1,12,0,57,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Wetland,94,0,80,16,0,307,24,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Forest,52,6,22,9,0,0,39,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Cropland,95,9,20,50,0,157,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Built-up,63,4,70,50,0,151,70,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Water,24,10,0,15,0,182,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Bareland,1,0,21,0,0,11,2,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,Grassland,0,46,17,44,0,138,63,0,0,0,0
