Dataset,MajorityClass,Shrubland,Forest,Wetland,Built-up,Water,Grassland,Cropland,Bareland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,Forest,0,0,136,0,62,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,Wetland,0,13,0,0,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,Water,0,79,121,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,Bareland,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Shrubland,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Grassland,0,0,1,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Forest,0,0,99,0,29,0,0,0,205,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Water,0,0,119,0,0,0,0,0,151,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Wetland,0,0,0,0,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Bareland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,Wetland,0,24,0,0,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,Forest,0,0,4,0,162,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,Grassland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,Bareland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,Water,0,33,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,Wetland,0,0,0,0,7,0,0,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,Water,0,0,0,0,0,0,0,0,0,103,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,Forest,0,0,0,0,60,0,0,0,0,63,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,Forest,0,0,2,0,117,8,21,25,0,0,48
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,Grassland,0,6,1,0,5,0,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,Water,0,128,8,0,0,0,1,25,0,0,29
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,Wetland,0,43,0,0,49,0,2,6,0,0,10
