Dataset,MajorityClass,Forest,Grassland,Cropland,Bareland,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Forest,0,0,0,0,0,100,49,0,467,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Water,0,0,0,0,0,112,0,0,104,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Shrubland,0,0,0,0,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Cropland,0,0,0,0,0,0,3,0,58,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,Bareland,0,0,0,0,0,0,3,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,Grassland,0,0,0,0,0,0,36,0,0,7
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,Wetland,0,0,0,0,0,0,32,0,0,18
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,Forest,0,0,0,0,0,0,74,0,0,42
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,Cropland,0,0,0,0,0,0,1,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,Water,0,0,0,0,0,0,0,0,0,75
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Grassland,140,0,107,5,33,17,11,213,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Forest,0,180,83,38,12,100,49,255,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Cropland,68,87,0,0,29,0,3,128,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Wetland,9,1,2,1,0,0,1,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Bareland,9,5,22,0,17,0,3,40,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Shrubland,3,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Water,70,10,5,20,0,112,0,48,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,Built-up,0,2,8,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Grassland,106,0,322,7,49,1,26,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Forest,0,0,157,2,9,5,105,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Shrubland,7,0,13,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Bareland,2,0,28,0,27,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Water,34,0,42,0,5,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Cropland,25,0,0,10,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,Wetland,30,0,9,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Shrubland,27,7,3,5,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Forest,0,16,36,32,0,0,16,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Cropland,66,34,0,86,0,1,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Wetland,94,3,1,2,0,0,19,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Water,170,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Grassland,169,0,75,99,0,0,44,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Bareland,5,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,Built-up,0,0,3,5,0,0,0,0,0,0
