Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,Bareland,6,4,0,20,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Grassland,0,0,0,119,0,0,0,0,0,57,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Wetland,0,0,0,605,0,0,0,0,0,326,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Water,0,0,0,0,0,0,0,0,0,515,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Bareland,0,0,0,4,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Forest,0,0,0,255,0,0,0,0,0,166,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Built-up,0,0,0,21,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Grassland,33,0,101,23,109,73,89,32,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Forest,176,214,268,95,0,146,196,69,0,0,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Wetland,0,114,220,70,145,51,90,35,0,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Bareland,5,8,0,0,11,15,23,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Built-up,3,32,16,8,28,0,59,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Water,381,173,372,0,243,98,240,15,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,Cropland,0,0,3,0,3,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Grassland,119,0,1,45,119,101,0,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Bareland,3,0,0,0,1,55,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Water,455,0,69,0,310,165,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Forest,189,0,8,233,0,278,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Wetland,0,0,12,233,273,74,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,Cropland,0,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,Wetland,0,317,14,226,588,0,0,114,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,Forest,3,73,0,36,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,Water,132,293,57,0,672,0,0,67,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,Bareland,0,2,0,4,13,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,Built-up,0,3,2,6,37,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,Grassland,3,0,3,13,134,0,0,18,0,0,0,0
