Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Built-up,0,0,0,0,0,57,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Cropland,0,0,0,0,0,102,0,0,0,111,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Wetland,0,0,0,0,0,485,0,0,0,417,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Forest,0,0,0,0,0,283,0,0,0,210,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,22,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Grassland,0,156,127,504,810,8,115,410,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Wetland,73,91,30,234,343,14,0,210,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Bareland,14,0,158,117,463,0,54,145,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Built-up,98,66,0,142,417,1,27,210,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Forest,404,239,168,0,801,11,306,503,0,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Cropland,172,64,131,274,0,0,31,238,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Water,204,289,193,669,1251,0,849,603,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Shrubland,24,10,5,63,85,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZU_M_R,Permanent_ice_and_snow,7,5,7,41,81,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Grassland,0,7,262,446,659,227,160,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Built-up,0,32,0,36,134,7,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Shrubland,0,1,74,138,109,61,61,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Bareland,0,0,215,49,87,83,26,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Wetland,0,10,137,259,365,461,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Forest,0,12,340,0,570,289,266,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Water,0,93,189,188,296,0,318,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Cropland,0,7,192,163,0,53,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZU_M_R,Permanent_ice_and_snow,0,0,15,19,16,32,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Forest,193,58,0,0,115,379,165,0,0,0,0,61
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Shrubland,74,67,0,168,63,144,87,0,0,0,0,38
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Cropland,205,144,0,298,0,293,167,0,0,0,0,53
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Bareland,14,0,0,48,18,66,30,0,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Water,74,164,0,166,75,0,270,0,0,0,0,79
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Wetland,168,54,0,390,84,384,0,0,0,0,0,60
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Built-up,82,117,0,276,164,278,27,0,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZU_M_R,Grassland,0,146,0,287,135,302,172,0,0,0,0,67
